date,title,stars,review,no_scent,noscent_counter
2020-02-20,Great but.,5.0 out of 5 stars,"It came early, and this is my favourite scent. It makes me think of spring.",False,0
2020-02-06,What's not to love?,5.0 out of 5 stars,"What can I say ... candles are great. Yankee Candles are great. The lilac aroma is great. All in a contained glass jar. No mess, nice smell, pretty candle - what's not too love?
1 recommendation - if you buy a lot of these types of candles, invest in a wick trimmer (amazon has a bunch) ... keeping the wick nice a trimmed will prevent soot getting on the side of the jar as it burns down.
Will buy again.",False,0
2020-01-13,No smell ???,1.0 out of 5 stars,No small I'm very upset because I've been a Yankee candles customer for many years.,True,1
2020-01-01,"Love, love, love.",5.0 out of 5 stars,Love that Yankee Candle's Lilac Blossoms has stayed the same over the years.,False,0
2019-11-17,It came broken,1.0 out of 5 stars,It came broken because it was packaged in a flimsy egg carton. This was for my mom's birthday.,False,0
2019-06-22,Love it,5.0 out of 5 stars,Smells great,False,0
2019-05-10,Lovely smell,5.0 out of 5 stars,Long lasting great smell,False,0
2021-12-18,Smell very good.,5.0 out of 5 stars,The aroma of this candle is very sweet. It last a lot. I'll buy it again.,False,0
2021-12-16,Presque pas parfumée,3.0 out of 5 stars,Je souhaitais avoir une bougie qui parfume toute la maison et ce n’est pas le cas,True,1
2021-12-10,Yankee this!,3.0 out of 5 stars,Some candles are better than others. This particular one is little too strong smelling but tolerable for hour at a time. Pricing freshness.,False,0
2021-12-01,Smells good!,5.0 out of 5 stars,"I will buy more in the future and these make the perfect gifts!
The Midsummer's Night scent is perfect for men!",False,0
2021-11-20,Ugh terrible scent,1.0 out of 5 stars,"Have no idea what the scent is supposed to be but it’s very subtle and even then it’s not a nice scent.
Don’t waste your money.",True,1
2021-11-17,j'adore l'odeur,5.0 out of 5 stars,"Que dire de cette odeur , plutôt masculine , ce que j'adore , un fond de musk comme je les aimes ..",False,0
2021-11-16,Best scented candle,5.0 out of 5 stars,Best yankee scent in my opinion. Good value,False,0
2021-11-12,Price,5.0 out of 5 stars,too expensive,False,0
2021-10-23,Long lasting candle,5.0 out of 5 stars,Wonderful scent!,False,0
2021-10-02,Came with wax licking all over the lid,1.0 out of 5 stars,I would't purchase - when i received this there was wax all over the lid and it was pretty messy to clean.,False,0
2021-09-26,Gorgeous aroma,5.0 out of 5 stars,I adore the aroma of baby powder. Relaxes you . Like smelling a newborn baby.,False,0
